,currency,description,displaySymbol,figi,mic,symbol,type
0,CNY,ANT GROUP CO LTD-A,688688.SS,BBG00WYFVJX6,XSHG,688688.SS,Common Stock
1,CNY,XINJIANG QINGSONG BUILDIN-A,600425.SS,BBG000PTN841,XSHG,600425.SS,Common Stock
2,CNY,WINGTECH TECHNOLOGY CO LTD-A,600745.SS,BBG000H9LMP2,XSHG,600745.SS,Common Stock
3,USD,SHANG GONG GROUP CO LTD-B,900924.SS,BBG000BK5KY5,XSHG,900924.SS,Common Stock
4,CNY,JIANGSU CHANGSHU AUTOMOTIV-A,603035.SS,BBG006R0D8F8,XSHG,603035.SS,Common Stock
5,CNY,CHINA AMC CSI 300 INDEX ETF,510330.SS,BBG003QK9HK1,XSHG,510330.SS,ETP
6,CNY,YECHIU METAL RECYCLING CHI-A,601388.SS,BBG002C6MV87,XSHG,601388.SS,Common Stock
7,CNY,XUELONG GROUP CO LTD-A,603949.SS,BBG00FZFHKW6,XSHG,603949.SS,Common Stock
8,CNY,GUANGZHOU DEVELOPMENT GRP-A,600098.SS,BBG000BWKC07,XSHG,600098.SS,Common Stock
9,CNY,NORTH CHINA PHARM CO-A,600812.SS,BBG000BKC6P8,XSHG,600812.SS,Common Stock
10,CNY,E FUND CSI 300 ETF,510310.SS,BBG00462LV44,XSHG,510310.SS,ETP
11,CNY,GAN & LEE PHARMACEUTICALS -A,603087.SS,BBG00JRS4QC2,XSHG,603087.SS,Common Stock
12,CNY,ZHEJIANG GREAT SHENGDA PAC-A,603687.SS,BBG00JNHTW58,XSHG,603687.SS,Common Stock
13,CNY,SHANDONG PHARMACEUTICAL - A,600529.SS,BBG000N4N624,XSHG,600529.SS,Common Stock
14,CNY,CHANGZHOU TENGLONG AUTO PA-A,603158.SS,BBG006D09FJ8,XSHG,603158.SS,Common Stock
15,CNY,HANGZHOU ADVANCE GEARBOX-A,601177.SS,BBG000PZGXY7,XSHG,601177.SS,Common Stock
16,CNY,FG CSI HEALTH CARE 50 ETF,515950.SS,BBG00RR75BS5,XSHG,515950.SS,ETP
17,CNY,INNER MONGOLIA FIRST MACHI-A,600967.SS,BBG000PD4F78,XSHG,600967.SS,Common Stock
18,CNY,SHENYANG JINSHAN ENERGY CO-A,600396.SS,BBG000H59KD1,XSHG,600396.SS,Common Stock
19,CNY,HANGZHOU ALLTEST BIOTECH -A,1727544D.SS,BBG00PK2FXY1,XSHG,1727544D.SS,Common Stock
20,CNY,ZHEJIANG XINNENG SOLAR PHO-A,603105.SS,BBG00GNMZ2L4,XSHG,603105.SS,Common Stock
21,CNY,SUNWAY CO LTD-A,603333.SS,BBG002CX7HB2,XSHG,603333.SS,Common Stock
22,CNY,ZHEJIANG LANGDI GROUP CO L-A,603726.SS,BBG006F4CSY9,XSHG,603726.SS,Common Stock
23,CNY,HEBEI JINNIU CHEMICAL INDU-A,600722.SS,BBG000GYJXJ4,XSHG,600722.SS,Common Stock
24,CNY,ORIENT INTERNATIONAL ENTER-A,600278.SS,BBG000BZW9Z6,XSHG,600278.SS,Common Stock
25,CNY,ZHIYANG INNOVATION TECHNOL-A,1388204D.SS,BBG00TSS5X88,XSHG,1388204D.SS,Common Stock
26,CNY,XINJIANG HONGTONG NATURAL -A,605169.SS,BBG00PBQTFN4,XSHG,605169.SS,Common Stock
27,CNY,SUZHOU SHIHUA NEW MATERIAL-A,688093.SS,BBG00T219RH4,XSHG,688093.SS,Common Stock
28,CNY,BOSERA SSE NAT RESOURCE ETF,510410.SS,BBG002Q0DY07,XSHG,510410.SS,ETP
29,CNY,QINGDAO COPTON TECHNOLOGY-A,603798.SS,BBG006FTM216,XSHG,603798.SS,Common Stock
30,CNY,WEST SHANGHAI AUTOMOTIVE S-A,605151.SS,BBG00D1PXM18,XSHG,605151.SS,Common Stock
31,CNY,WOLONG ELECTRIC GROUP CO L-A,600580.SS,BBG000BG01J8,XSHG,600580.SS,Common Stock
32,CNY,SHANGHAI ELIANSY INDUSTRY GR,600836.SS,BBG000BKD695,XSHG,600836.SS,Common Stock
33,CNY,HARBIN XINGUANG OPTIC-ELEC-A,688011.SS,BBG00NRW7GC3,XSHG,688011.SS,Common Stock
34,USD,SH JINJIANG INTL TRAVEL -B,900929.SS,BBG000DLKYB9,XSHG,900929.SS,Common Stock
35,CNY,WAVE CYBER SHANGHAI CO LTD-A,WAVECZ.SS,BBG00XJRTRZ8,XSHG,WAVECZ.SS,Common Stock
36,CNY,GUODIAN NANJING AUTOMATION-A,600268.SS,BBG000DHXMS2,XSHG,600268.SS,Common Stock
37,CNY,FUJIAN RAYNEN TECHNOLOGY C-A,603933.SS,BBG00BS2K6T3,XSHG,603933.SS,Common Stock
38,CNY,INMYSHOW DIGITAL TECH-A,600556.SS,BBG000K203X9,XSHG,600556.SS,Common Stock
39,CNY,GOME TELECOM EQUIPMENT CO-A,600898.SS,BBG000C0B1H2,XSHG,600898.SS,Common Stock
40,CNY,HANGZHOU HONGHUA DIGITAL T-A,AAWRWZ.SS,BBG00363D2X5,XSHG,AAWRWZ.SS,Common Stock
41,CNY,BAODING TIANWEI BAOBIAN-A,600550.SS,BBG000F811L8,XSHG,600550.SS,Common Stock
42,CNY,JIANGSU HENGSHUN VINEGAR I-A,600305.SS,BBG000FKYN37,XSHG,600305.SS,Common Stock
43,CNY,360 SECURITY TECHNOLOGY IN-A,601360.SS,BBG0027SNGH7,XSHG,601360.SS,Common Stock
44,CNY,CCB PRINCIAL MMK ETF-H,511660.SS,BBG00DSN66G3,XSHG,511660.SS,ETP
45,CNY,YIBIN PAPER INDUSTRY CO-A,600793.SS,BBG000BPX5T2,XSHG,600793.SS,Common Stock
46,CNY,ZHEJIANG CHENG YI PHARMACE-A,603811.SS,BBG007PGRT62,XSHG,603811.SS,Common Stock
47,CNY,JIANGSU HENGRUI MEDICINE C-A,600276.SS,BBG000CHFF71,XSHG,600276.SS,Common Stock
48,CNY,KANGDING JINXIN MINING TOU-A,1813063D.SS,BBG00VX95YS5,XSHG,1813063D.SS,Common Stock
49,CNY,AVE SCIENCE & TECHNOLOGY-A,1388745D.SS,BBG00D5KJS90,XSHG,1388745D.SS,Common Stock
50,CNY,CHUNGHSIN TECHNOLOGY GROUP-A,603996.SS,BBG008H1VT03,XSHG,603996.SS,Common Stock
51,CNY,SHENZHEN KINWONG ELECTRONI-A,603228.SS,BBG007KNCHC7,XSHG,603228.SS,Common Stock
52,CNY,WENFENG GREAT WORLD CHAIN-A,601010.SS,BBG000Q83Z48,XSHG,601010.SS,Common Stock
53,CNY,QINGHAI JINRUI MINERAL DEV-A,600714.SS,BBG000DHW608,XSHG,600714.SS,Common Stock
54,CNY,SUNTAR ENVIRONMENTAL TECHN-A,688101.SS,BBG006G0S9N3,XSHG,688101.SS,Common Stock
55,CNY,SHANGHAI WANYE ENTERPRISE -A,600641.SS,BBG000BFZ264,XSHG,600641.SS,Common Stock
56,CNY,SSE CYCLICAL INDUSTRY BOND,511230.SS,BBG00FGT1D78,XSHG,511230.SS,ETP
57,CNY,HEBEI HENGSHUI LAOBAIGAN-A,600559.SS,BBG000PCFJF1,XSHG,600559.SS,Common Stock
58,CNY,ZHEJIANG XCC GROUP CO LTD-A,603667.SS,BBG006G0S2M9,XSHG,603667.SS,Common Stock
59,CNY,BEIJING HAITIAN RUISHENG S-A,1709381D.SS,BBG00NV8GH66,XSHG,1709381D.SS,Common Stock
60,CNY,GUANGDONG MARUBI BIOTECHNO-A,603983.SS,BBG006R0D813,XSHG,603983.SS,Common Stock
61,CNY,ZHEJIANG BOTAI FURNITURE CO,AAOMQZ.SS,BBG00VNHPQM9,XSHG,AAOMQZ.SS,Common Stock
62,CNY,ZHEJIANG SHAPUAISI PHARMAC-A,603168.SS,BBG002N45R97,XSHG,603168.SS,Common Stock
63,CNY,ZHUHAI COSMX BATTERY CO LT-A,0477688D.SS,BBG00Y3NDVV4,XSHG,0477688D.SS,Common Stock
64,CNY,UCLOUD TECHNOLOGY CO LTD-A,688158.SS,BBG00NS28VF1,XSHG,688158.SS,Common Stock
65,CNY,SHANGHAI PROSOLAR RESOURC-A,600193.SS,BBG000BWJN78,XSHG,600193.SS,Common Stock
66,CNY,NANTONG XINGQIU GRAPHITE -A,KMAUBZ.SS,BBG00V75V7L9,XSHG,KMAUBZ.SS,Common Stock
67,CNY,BLACK PEONY CO LTD-A,600510.SS,BBG000JSDXT9,XSHG,600510.SS,Common Stock
68,CNY,SHANGHAI XINTONGLIAN PACKA-A,603022.SS,BBG006KFNG81,XSHG,603022.SS,Common Stock
69,CNY,CHINA RAILWAY TIELONG CONT-A,600125.SS,BBG000C2W8H0,XSHG,600125.SS,Common Stock
70,CNY,HARBIN DONGAN AUTO ENGINE-A,600178.SS,BBG000CCF8T4,XSHG,600178.SS,Common Stock
71,CNY,ANHUI RONDS SCIENCE & TECH-A,1840087D.SS,BBG00XXYKFL7,XSHG,1840087D.SS,Common Stock
72,CNY,SHANGHAI RUNDA MEDICAL TEC-A,603108.SS,BBG006JS3JN4,XSHG,603108.SS,Common Stock
73,CNY,FUJIAN CEMENT INC-A,600802.SS,BBG000BG5FF6,XSHG,600802.SS,Common Stock
74,CNY,CIB CSI FUJIAN 50 ETF,512350.SS,BBG00V2KBCZ7,XSHG,512350.SS,ETP
75,CNY,IKD CO LTD-A,600933.SS,BBG00DJ06JN7,XSHG,600933.SS,Common Stock
76,CNY,HUAAN SECURITIES CO LTD-A,600909.SS,BBG006D4XBN7,XSHG,600909.SS,Common Stock
77,CNY,METALLURGICAL CORP OF CHIN-A,601618.SS,BBG000GCFBB2,XSHG,601618.SS,Common Stock
78,CNY,CHINA FILM CO LTD-A,600977.SS,BBG006NC8005,XSHG,600977.SS,Common Stock
79,CNY,KANGXIN NEW MATERIALS CO L-A,600076.SS,BBG000BJJFP4,XSHG,600076.SS,Common Stock
80,CNY,JIANGSU RONGTAI INDUSTRY C-A,1725511D.SS,BBG00PGD9865,XSHG,1725511D.SS,Common Stock
